product_keyword,category,subcategory,google_trend_keyword,price_range
airpods,Audio,Wireless Earbuds,AirPods,150-250
kindle,Reading,E-Reader,Kindle,80-200
echo,Smart Home,Smart Speaker,Echo Dot,30-100
ring,Smart Home,Security Camera,Ring Doorbell,80-200
fire tv,Streaming,Media Player,Fire TV Stick,30-60
earbuds,Audio,Wireless Earbuds,wireless earbuds,20-150
speaker,Audio,Bluetooth Speaker,bluetooth speaker,20-200
tablet,Computing,Tablet,tablet case,50-500
laptop,Computing,Laptop,laptop stand,300-2000
watch,Wearables,Smartwatch,smartwatch,50-500
cable,Accessories,Cables,USB C cable,5-30
charger,Accessories,Chargers,phone charger,10-60
battery,Accessories,Power Bank,power bank,15-80
screen protector,Accessories,Screen Protector,screen protector,5-20
headphone,Audio,Headphones,wireless earbuds,20-400
