review_id,review_text,rating,verified_purchase
en_0063166,"Poor quality

Bad editing, no pictures, most of the recipes look unappetizing or break the Mediterranean Diet rules. Someone just threw this together and put a Mediterranean Diet intro on it, and not a very good one.",2,True
en_0123529,"Not all that

Doesn’t easily wash out. Leaves residue on scalp. For days.",3,True
en_0880790,"Three Stars

Much smaller in person then in photos great if you have very small cats",3,True
en_0489554,"My cats won't eat it, but then again they ...

My cats won't eat it, but then again they are very picky. Ask someone who has a normal cat.",2,True
en_0341567,"One Star

I have not received item and alert says it was delivered",1,True
en_0565696,"Total crap

These came with holes in the seems and were made of terrible cheap fabric",1,True
en_0076503,"It's flat!

Nowhere it said it was a flat non-filled dog toy...",1,False
en_0572690,"Average product

I tried this product because of the good price. I haven't noticed any improvement in my health maybe it will be better over time",3,True
en_0533494,"Three Stars

Purchased for our great nephew for Christmas. Perfect gift to drive young parents right up the wall.",3,True
en_0694980,"Doesn't actually open ""all"" can sizes.

I like to get exotic stuff, so I shop at a local asian market. Some of the cans are too big for this thing. Kinda disappointing, considering it's those big cans I needed help with in the first place.",2,True
en_0391349,"I wouldn't recommend this if your hair is thick and tangly

Works well, but tangles my hair. I wouldn't recommend this if your hair is thick and tangly.",3,True
en_0695008,"Didnt get it

Package never showed up at my door but says it was delivered an hour after I updated the delivery option because you couldnt get in the front door. And there's no option to let anyone know I never got it",1,True
en_0894546,"Comfortable, but so cheap you can’t wear it for more than a week

In a week’s time, the stitching has fallen apart on the pockets, and the arms are coming apart from the rest of the robe. This quality of this item is pathetic.",1,True
en_0723598,"One Star

It worked for 15 days then the screen went blank forever.",1,True
en_0626533,"Happy so far.

Lifts my neck slightly to relieve pressure. Used it for a couple of weeks. Does what I expected.",4,True
en_0805871,"... wife likes that they are heavy and wash up nice. they are soft when dry

my wife likes that they are heavy and wash up nice.they are soft when dry.",4,True
en_0247009,"Two Stars

this said it came with a storage bag...and there was none in the box",2,True
en_0011326,"Great for essential oils

Great products!! Have used with my essential oils. No leaking. Nothing was broken. Will definitely order again",4,True
en_0853075,"Don’t do it!

The peices fit very loose, the image is blurry, and the peices were very dusty.",2,True
en_0601257,"I ended up giving this cas to a co worker ...

I ended up giving this cas to a co worker. It fit my phone but was incredibly difficult to get on. was going to return buy my co worker wanted it.",2,True
en_0293458,"Size is way off!

Way to small! Ordered a large but was more of a small!",1,True
en_0371574,"replacement speakers

These are replacement speakers and wont make your system sound like a thousand dollar system but they are much better that the stock ones.",4,True
en_0268020,"Very little support

This bralette offered very little support. The straps were too long",2,True
en_0839269,"Not great

It is pretty big, so not very good for travel and it loses charge pretty quickly.",1,True
en_0927248,"Must have if you run calcium based supplements

My plants love it, my soil gets it, and I want more!",5,False
en_0675541,"Damaged Boxes

Love these noodles, do not love that the set of six had two torn and open boxes.",1,True
en_0008487,"All good so far

I really like this grow light so far. It appears to be well made and is easy to operate It is too soon to see what it will do for my orchids",5,True
